epoch,train_loss,train_dir_loss,train_gate_penalty,train_mae,train_median_ae,val_mae,val_median_ae,train_gate,val_gate,lr,time_s
1,0.2002,0.1888,0.0228,21.40,5.27,68.97,41.26,0.8843,0.9409,5.00e-04,1174.7
2,0.1666,0.1652,0.0028,17.71,2.46,66.76,37.79,0.9477,0.9432,4.52e-04,1008.0
3,0.1558,0.1549,0.0016,16.65,1.92,65.28,36.09,0.9597,0.9564,3.27e-04,991.3
4,0.1421,0.1414,0.0013,15.47,1.56,64.80,35.95,0.9637,0.9546,1.73e-04,980.1
5,0.1546,0.1539,0.0013,16.31,1.37,64.48,36.82,0.9637,0.9561,4.77e-05,1047.8
6,0.1538,0.1531,0.0013,16.44,1.28,67.82,41.74,0.9649,0.9613,5.00e-04,1533.3
7,0.1346,0.1341,0.0010,14.46,1.02,64.35,34.61,0.9689,0.9590,4.52e-04,1546.9
8,0.1541,0.1537,0.0009,16.05,0.83,64.73,37.32,0.9708,0.9620,3.27e-04,1102.2
9,0.1510,0.1505,0.0009,15.76,0.65,67.03,36.97,0.9706,0.9635,1.73e-04,1026.9
10,0.1485,0.1481,0.0008,15.32,0.60,65.44,38.56,0.9723,0.9613,4.77e-05,1023.0
11,0.1524,0.1519,0.0009,15.92,0.76,64.84,35.79,0.9708,0.9608,5.00e-04,981.0
12,0.1484,0.1480,0.0008,15.96,0.68,65.23,37.31,0.9716,0.9619,4.52e-04,981.7
13,0.1428,0.1423,0.0008,15.28,0.65,64.13,34.92,0.9718,0.9633,3.27e-04,976.2
14,0.1542,0.1539,0.0007,16.00,0.54,65.17,35.18,0.9741,0.9692,1.73e-04,973.2
15,0.1296,0.1293,0.0006,13.73,0.47,63.51,35.18,0.9761,0.9658,4.77e-05,978.1
16,0.1466,0.1463,0.0007,15.40,0.63,63.27,36.72,0.9744,0.9659,5.00e-04,975.3
17,0.1537,0.1534,0.0007,16.04,0.66,61.73,31.80,0.9737,0.9635,4.52e-04,973.8
18,0.1509,0.1506,0.0007,15.77,0.50,65.74,37.85,0.9741,0.9636,3.27e-04,972.7
19,0.1488,0.1485,0.0006,15.24,0.47,61.26,30.10,0.9753,0.9660,1.73e-04,977.0
20,0.1604,0.1601,0.0006,16.39,0.41,62.63,33.69,0.9756,0.9660,4.77e-05,973.1
21,0.1540,0.1537,0.0006,15.52,0.53,64.00,33.01,0.9752,0.9674,5.00e-04,974.3
22,0.1438,0.1435,0.0006,15.37,0.66,61.12,28.22,0.9753,0.9638,4.52e-04,979.3
23,0.1463,0.1459,0.0007,14.94,0.62,63.65,32.39,0.9747,0.9637,3.27e-04,973.1
24,0.1497,0.1494,0.0007,15.79,0.63,62.40,31.95,0.9744,0.9639,1.73e-04,974.1
25,0.1435,0.1431,0.0006,14.92,0.46,62.59,31.56,0.9749,0.9640,4.77e-05,972.4
26,0.1403,0.1400,0.0006,15.17,0.56,61.83,31.05,0.9754,0.9629,5.00e-04,976.4
27,0.1434,0.1431,0.0007,14.93,0.68,60.02,26.22,0.9747,0.9621,4.52e-04,973.5
28,0.1461,0.1458,0.0006,15.03,0.62,62.06,28.08,0.9760,0.9671,3.27e-04,974.7
29,0.1480,0.1478,0.0006,15.34,0.52,61.21,28.93,0.9767,0.9663,1.73e-04,973.2
30,0.1459,0.1456,0.0006,14.80,0.45,61.93,30.89,0.9764,0.9667,4.77e-05,972.2
